x1	x2	x3	x4	x5	x6	x7	x8	x9	x:	x;	x<	x=	x>	u1	u2	u3	u4	u5	u6	u7	u8	error	numIter	cpuTime	cpuTimeSearchDirection	cpuTimeLineSearch	cpuTimeKKTError
0.000001	0.000327	-0.000003	0.000795	-0.000002	0.000722	0.000000	0.000143	0.054506	-0.000423	0.131912	-0.000394	0.119671	0.000029	-0.050981	4.301031	0.010829	0.534909	0.012497	0.015282	-0.000081	0.000710	0.000432	5.000000	909.796000	901.826000	0.000000	0.000000
0.000001	0.000385	-0.000003	0.000934	-0.000003	0.000848	0.000000	0.000155	0.060529	-0.000468	0.146353	-0.000444	0.132730	0.000035	-0.052840	4.509634	0.011619	0.545798	0.013218	0.016190	-0.000085	0.000710	0.000429	5.000000	905.140000	897.652999	0.000000	0.000000
0.000001	0.000448	-0.000004	0.001088	-0.000003	0.000988	0.000000	0.000167	0.066826	-0.000515	0.161428	-0.000497	0.146357	0.000042	-0.054626	4.716404	0.012427	0.555240	0.013943	0.017108	-0.000089	0.000710	0.000427	5.000000	903.669000	896.465000	0.000000	0.000000
0.000001	0.000518	-0.000004	0.001257	-0.000004	0.001141	0.000000	0.000180	0.073390	-0.000564	0.177120	-0.000554	0.160536	0.000051	-0.056339	4.921318	0.013251	0.563262	0.014671	0.018036	-0.000093	0.000710	0.000424	5.000000	880.647000	874.432001	0.000000	0.000000
0.000002	0.000595	-0.000005	0.001442	-0.000004	0.001309	0.000000	0.000192	0.080216	-0.000613	0.193415	-0.000615	0.175255	0.000060	-0.057982	5.124346	0.014092	0.569886	0.015402	0.018975	-0.000097	0.000710	0.000422	5.000000	879.673001	873.690000	0.000000	0.000000
0.000002	0.000679	-0.000005	0.001644	-0.000005	0.001492	0.000000	0.000205	0.087298	-0.000665	0.210297	-0.000681	0.190499	0.000071	-0.059553	5.325452	0.014948	0.575127	0.016135	0.019925	-0.000101	0.000710	0.000420	5.000000	875.127000	869.023001	0.000000	0.000000
0.000002	0.000770	-0.000006	0.001863	-0.000006	0.001691	0.000000	0.000217	0.094631	-0.000717	0.227750	-0.000750	0.206254	0.000083	-0.061053	5.524594	0.015819	0.578991	0.016870	0.020889	-0.000105	0.000710	0.000418	5.000000	872.707000	866.632000	0.000000	0.000000
0.000002	0.000868	-0.000007	0.002100	-0.000006	0.001905	0.000001	0.000230	0.102208	-0.000771	0.245759	-0.000824	0.222506	0.000097	-0.062482	5.721716	0.016705	0.581471	0.017606	0.021867	-0.000110	0.000710	0.000415	5.000000	912.668000	906.674000	0.000000	0.000000
0.000002	0.000974	-0.000008	0.002355	-0.000007	0.002136	0.000001	0.000242	0.110025	-0.000826	0.264310	-0.000903	0.239244	0.000113	-0.063840	5.916756	0.017605	0.582543	0.018344	0.022862	-0.000114	0.000710	0.000413	5.000000	930.785000	924.475000	0.000000	0.000000
0.000003	0.001089	-0.000008	0.002629	-0.000008	0.002384	0.000001	0.000255	0.118075	-0.000881	0.283385	-0.000986	0.256452	0.000130	-0.065124	6.109634	0.018519	0.582158	0.019083	0.023879	-0.000118	0.000710	0.000411	5.000000	939.053000	932.149001	0.000000	0.000000
0.000003	0.001211	-0.000009	0.002922	-0.000009	0.002649	0.000001	0.000267	0.126353	-0.000938	0.302971	-0.001075	0.274118	0.000149	-0.066333	6.300251	0.019447	0.580228	0.019823	0.024922	-0.000122	0.000710	0.000408	5.000000	910.284000	903.410000	0.000000	0.000000
0.000003	0.001341	-0.000010	0.003235	-0.000010	0.002932	0.000001	0.000280	0.134851	-0.000996	0.323049	-0.001169	0.292228	0.000171	-0.067461	6.488488	0.020389	0.576610	0.020564	0.026000	-0.000126	0.000710	0.000406	5.000000	942.503000	935.998999	0.000000	0.000000
0.000004	0.001481	-0.000011	0.003568	-0.000012	0.003234	0.000001	0.000292	0.143565	-0.001054	0.343603	-0.001268	0.310769	0.000194	-0.068502	6.674190	0.021345	0.571079	0.021307	0.027127	-0.000131	0.000710	0.000406	5.000000	919.336000	913.229001	0.000000	0.000000
0.000004	0.001629	-0.000012	0.003923	-0.000013	0.003554	0.000001	0.000304	0.152486	-0.001113	0.364614	-0.001373	0.329727	0.000219	-0.069446	6.857166	0.022318	0.563276	0.022052	0.028323	-0.000136	0.000710	0.000406	5.000000	1025.121000	1018.713001	0.000000	0.000000
0.000004	0.001786	-0.000013	0.004298	-0.000014	0.003893	0.000002	0.000315	0.161608	-0.001172	0.386062	-0.001484	0.349088	0.000247	-0.070275	7.037166	0.023309	0.552636	0.022802	0.029620	-0.000140	0.000711	0.000406	5.000000	959.441000	953.585000	0.000000	0.000000
0.000004	0.001952	-0.000015	0.004695	-0.000016	0.004252	0.000002	0.000327	0.170921	-0.001233	0.407923	-0.001601	0.368835	0.000278	-0.070965	7.213860	0.024325	0.538269	0.023558	0.031068	-0.000146	0.000711	0.000406	5.000000	946.170000	940.258001	0.000000	0.000000
0.000005	0.002128	-0.000016	0.005114	-0.000018	0.004631	0.000002	0.000337	0.180415	-0.001294	0.430169	-0.001723	0.388954	0.000310	-0.071476	7.386813	0.025372	0.518790	0.024327	0.032748	-0.000152	0.000711	0.000407	5.000000	910.599000	904.718001	0.000000	0.000000
0.000005	0.002313	-0.000017	0.005555	-0.000019	0.005030	0.000003	0.000347	0.190077	-0.001356	0.452763	-0.001852	0.409425	0.000346	-0.071749	7.555455	0.026464	0.492120	0.025116	0.034778	-0.000159	0.000712	0.000407	5.000000	988.113000	982.219000	0.000000	0.000000
0.000006	0.002508	-0.000019	0.006020	-0.000021	0.005450	0.000003	0.000356	0.199890	-0.001420	0.475661	-0.001987	0.430229	0.000383	-0.071703	7.719094	0.027618	0.455445	0.025937	0.037317	-0.000168	0.000712	0.000408	5.000000	891.351000	885.449999	0.000000	0.000000
0.000006	0.002713	-0.000020	0.006507	-0.000023	0.005891	0.000003	0.000363	0.209832	-0.001486	0.498798	-0.002127	0.451342	0.000423	-0.071250	7.877046	0.028856	0.405742	0.026804	0.040527	-0.000180	0.000713	0.000409	5.000000	958.993999	953.048999	0.000000	0.000000
0.000006	0.002927	-0.000022	0.007017	-0.000026	0.006353	0.000004	0.000367	0.219873	-0.001556	0.522091	-0.002273	0.472735	0.000465	-0.070333	8.028906	0.030195	0.341196	0.027726	0.044472	-0.000193	0.000714	0.000409	5.000000	612.112000	606.256999	0.000000	0.000000
0.000007	0.003152	-0.000023	0.007551	-0.000028	0.006837	0.000004	0.000368	0.229974	-0.001629	0.545431	-0.002423	0.494372	0.000509	-0.068958	8.174785	0.031638	0.262603	0.028704	0.049025	-0.000209	0.000715	0.000409	5.000000	598.328001	592.519000	0.000000	0.000000
0.000007	0.003387	-0.000025	0.008108	-0.000030	0.007342	0.000005	0.000363	0.240091	-0.001709	0.568696	-0.002576	0.516211	0.000554	-0.067192	8.315161	0.033177	0.173110	0.029733	0.053894	-0.000226	0.000717	0.000409	5.000000	698.934000	692.952001	0.000000	0.000000
0.000007	0.003633	-0.000027	0.008688	-0.000033	0.007869	0.000005	0.000352	0.250184	-0.001796	0.591769	-0.002732	0.538199	0.000599	-0.065123	8.450470	0.034799	0.076613	0.030800	0.058733	-0.000243	0.000718	0.000408	5.000000	592.579000	586.560001	0.000000	0.000000
0.000008	0.003888	-0.000028	0.009292	-0.000036	0.008418	0.000006	0.000333	0.260219	-0.001892	0.614556	-0.002889	0.560273	0.000645	-0.062834	8.580758	0.036483	-0.023487	0.031892	0.063260	-0.000261	0.000720	0.000407	5.000000	689.286000	683.449999	0.000000	0.000000
0.000008	0.004153	-0.000030	0.009917	-0.000039	0.008990	0.000007	0.000307	0.270173	-0.001998	0.636990	-0.003047	0.582363	0.000690	-0.060395	8.705628	0.038205	-0.124634	0.032996	0.067304	-0.000277	0.000722	0.000405	5.000000	754.111000	748.272000	0.000000	0.000000
0.000008	0.004428	-0.000032	0.010565	-0.000042	0.009583	0.000007	0.000274	0.280030	-0.002112	0.659029	-0.003205	0.604388	0.000735	-0.057866	8.824393	0.039939	-0.225038	0.034094	0.070812	-0.000294	0.000724	0.000403	5.000000	886.653000	880.560001	0.000000	0.000000
0.000009	0.004713	-0.000035	0.011235	-0.000045	0.010198	0.000008	0.000234	0.289780	-0.002236	0.680646	-0.003362	0.626268	0.000779	-0.055297	8.936290	0.041657	-0.323487	0.035173	0.073812	-0.000309	0.000727	0.000401	5.000000	686.454000	680.479001	0.000000	0.000000
0.000009	0.005008	-0.000037	0.011926	-0.000049	0.010835	0.000009	0.000187	0.299418	-0.002369	0.701827	-0.003520	0.647930	0.000823	-0.052724	9.040606	0.043337	-0.419165	0.036219	0.076370	-0.000323	0.000729	0.000398	5.000000	820.241000	813.843999	0.000000	0.000000
0.000009	0.005312	-0.000039	0.012639	-0.000052	0.011494	0.000010	0.000135	0.308939	-0.002511	0.722565	-0.003677	0.669316	0.000866	-0.050174	9.136733	0.044961	-0.511522	0.037223	0.078561	-0.000337	0.000732	0.000396	5.000000	706.306000	697.824001	0.000000	0.000000
0.000009	0.005625	-0.000042	0.013371	-0.000056	0.012174	0.000011	0.000076	0.318342	-0.002661	0.742859	-0.003834	0.690378	0.000908	-0.047667	9.224229	0.046513	-0.600193	0.038176	0.080447	-0.000350	0.000734	0.000394	5.000000	623.661000	617.768999	0.000000	0.000000
0.000009	0.005948	-0.000045	0.014124	-0.000060	0.012875	0.000012	0.000012	0.327625	-0.002819	0.762709	-0.003990	0.711085	0.000949	-0.045217	9.302907	0.047986	-0.684980	0.039073	0.082080	-0.000363	0.000737	0.000393	5.000000	584.792000	578.890001	0.000000	0.000000
0.000009	0.006281	-0.000048	0.014897	-0.000064	0.013596	0.000013	-0.000058	0.336786	-0.002986	0.782120	-0.004146	0.731416	0.000990	-0.042833	9.372911	0.049375	-0.765842	0.039913	0.083499	-0.000375	0.000740	0.000392	5.000000	622.725000	616.941000	0.000000	0.000000
0.000009	0.006622	-0.000051	0.015688	-0.000068	0.014337	0.000014	-0.000132	0.345825	-0.003159	0.801096	-0.004301	0.751355	0.001030	-0.040517	9.434702	0.050681	-0.842875	0.040697	0.084738	-0.000386	0.000743	0.000391	5.000000	629.806000	623.910000	0.000000	0.000000
0.000009	0.006972	-0.000054	0.016498	-0.000073	0.015098	0.000015	-0.000211	0.354741	-0.003340	0.819643	-0.004455	0.770896	0.001069	-0.038272	9.488955	0.051908	-0.916268	0.041427	0.085825	-0.000396	0.000746	0.000390	5.000000	666.308000	641.013000	0.000000	0.000000
0.000009	0.007331	-0.000057	0.017327	-0.000077	0.015879	0.000016	-0.000294	0.363535	-0.003527	0.837769	-0.004609	0.790034	0.001108	-0.036095	9.536444	0.053061	-0.986261	0.042109	0.086784	-0.000406	0.000749	0.000390	5.000000	850.844001	844.892000	0.000000	0.000000
0.000008	0.007699	-0.000061	0.018174	-0.000082	0.016678	0.000017	-0.000381	0.372207	-0.003721	0.855480	-0.004762	0.808768	0.001145	-0.033986	9.577958	0.054146	-1.053112	0.042746	0.087634	-0.000416	0.000752	0.000390	5.000000	848.975999	843.127999	0.000000	0.000000
0.000008	0.008076	-0.000065	0.019038	-0.000087	0.017496	0.000018	-0.000472	0.380757	-0.003920	0.872784	-0.004915	0.827100	0.001182	-0.031941	9.614257	0.055170	-1.117076	0.043343	0.088392	-0.000425	0.000755	0.000390	5.000000	848.660000	842.899000	0.000000	0.000000
0.000007	0.008461	-0.000069	0.019919	-0.000092	0.018332	0.000019	-0.000567	0.389186	-0.004126	0.889689	-0.005068	0.845033	0.001219	-0.029958	9.646058	0.056139	-1.178401	0.043904	0.089071	-0.000434	0.000758	0.000390	5.000000	850.643000	844.894999	0.000000	0.000000
0.000007	0.008854	-0.000073	0.020817	-0.000097	0.019186	0.000020	-0.000665	0.397496	-0.004337	0.906203	-0.005220	0.862571	0.001254	-0.028036	9.674013	0.057057	-1.237313	0.044433	0.089685	-0.000443	0.000761	0.000390	5.000000	927.550000	921.761002	0.000000	0.000000
0.000006	0.009256	-0.000078	0.021731	-0.000102	0.020057	0.000022	-0.000767	0.405688	-0.004553	0.922333	-0.005371	0.879719	0.001289	-0.026173	9.698695	0.057930	-1.294018	0.044933	0.090241	-0.000451	0.000764	0.000390	5.000000	904.283001	898.488999	0.000000	0.000000
0.000005	0.009665	-0.000082	0.022662	-0.000108	0.020945	0.000023	-0.000872	0.413763	-0.004774	0.938089	-0.005522	0.896483	0.001323	-0.024366	9.720590	0.058761	-1.348691	0.045407	0.090750	-0.000459	0.000768	0.000390	5.000000	1014.912000	1009.071000	0.000000	0.000000
0.000004	0.010083	-0.000087	0.023607	-0.000113	0.021850	0.000024	-0.000980	0.421723	-0.005000	0.953477	-0.005673	0.912869	0.001357	-0.022617	9.740097	0.059553	-1.401485	0.045857	0.091216	-0.000467	0.000771	0.000390	5.000000	849.930000	844.156999	0.000000	0.000000
0.000003	0.010509	-0.000092	0.024568	-0.000119	0.022771	0.000026	-0.001091	0.429570	-0.005230	0.968506	-0.005823	0.928883	0.001390	-0.020923	9.757549	0.060308	-1.452527	0.046286	0.091647	-0.000474	0.000775	0.000389	5.000000	894.472000	887.787001	0.000000	0.000000
0.000002	0.010942	-0.000098	0.025544	-0.000125	0.023708	0.000027	-0.001205	0.437305	-0.005465	0.983183	-0.005974	0.944533	0.001422	-0.019285	9.773225	0.061030	-1.501932	0.046695	0.092046	-0.000482	0.000778	0.000387	5.000000	616.992000	610.924999	0.000000	0.000000
0.000001	0.011383	-0.000103	0.026535	-0.000131	0.024660	0.000029	-0.001323	0.444932	-0.005703	0.997517	-0.006124	0.959825	0.001453	-0.017701	9.787363	0.061720	-1.549795	0.047086	0.092418	-0.000489	0.000782	0.000385	5.000000	594.736000	588.761999	0.000000	0.000000
-0.000001	0.011832	-0.000109	0.027539	-0.000137	0.025627	0.000030	-0.001444	0.452451	-0.005945	1.011514	-0.006273	0.974766	0.001484	-0.016169	9.800160	0.062380	-1.596204	0.047460	0.092765	-0.000496	0.000786	0.000384	5.000000	593.297000	587.285001	0.000000	0.000000
-0.000002	0.012288	-0.000115	0.028557	-0.000143	0.026609	0.000032	-0.001568	0.459865	-0.006191	1.025183	-0.006423	0.989363	0.001515	-0.014686	9.811783	0.063012	-1.641233	0.047818	0.093091	-0.000504	0.000789	0.000383	5.000000	595.531999	589.551999	0.000000	0.000000
